rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
4578,Nijmegen-Venlo,"Nijmegen - Venlo",64,,,"sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2012-09-28 12:17:01","2012-09-28 12:48:01",14
4579,Alkmaar-Haarlem,"Haarlem - Uitgeest",111,,,"inzet van de brandweer","deployment of the fire department","inzet van de brandweer","deployment of the fire department",external,"2012-09-28 14:35:01","2012-09-28 16:36:01",82
4580,Vlissingen-Roosendaal,"Roosendaal - Vlissingen",21,,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2012-09-28 19:31:01","2012-09-28 21:33:01",115
4581,"Utrecht Centraal-Amersfoort/Baarn","Amersfoort - Utrecht Centraal, Baarn - Utrecht Centraal","44,134",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-09-28 21:53:01","2012-09-28 22:37:01",17
4582,"Utrecht Centraal-Ede-Wageningen/Rhenen","Arnhem Centraal - Utrecht Centraal, Rhenen - Utrecht Centraal","133,166",,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2012-09-28 23:59:01","2012-09-29 01:01:01",40
4583,"Utrecht Centraal-Ede-Wageningen/Rhenen","Arnhem Centraal - Utrecht Centraal, Rhenen - Utrecht Centraal","133,166",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-09-29 06:39:01","2012-09-29 10:37:01",206
4584,"Utrecht Centraal-Amsterdam C/Schiphol","Amsterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal","136,137",,,"meerdere verstoringen","multiple disruptions","meerdere verstoringen","multiple disruptions",unknown,"2012-09-29 09:03:01","2012-09-29 17:30:01",507
4585,"Arnhem-Frankfurt Flugh./Köln Hbf/Winterswijk/Zutphen","Arnhem Centraal - Frankfurt (M) Hbf, Arnhem Centraal - Winterswijk","82,129",,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-09-29 15:06:01","2012-09-29 17:03:02",101
4586,"Amsterdam C-Alkmaar/Enkhuizen/Haarlem/Schiphol","Alkmaar - Amsterdam Centraal, Amsterdam Centraal - Haarlem, Amsterdam Centraal - Hoorn, Amsterdam Centraal - Schiphol Airport, Schiphol Airport - Zaandam","32,112,161,164,165",,,"persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2012-09-30 07:57:01","2012-09-30 09:35:01",69
4587,Groningen-Zwolle,"Groningen - Zwolle",146,,,"aanrijding met een voertuig","collision with a vehicle","aanrijding met een voertuig","collision with a vehicle",accidents,"2012-09-30 10:25:01","2012-09-30 13:05:01",114
4588,Maastricht-Heerlen,"Heerlen - Maastricht",76,,,"defecte treinen","defective trains","defecte treinen","defective trains","rolling stock","2012-09-30 13:55:01","2012-09-30 17:09:02",174
