X,Y,OBJECTID,HECTOMETER,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,ROTATIE
6.53853779999326,52.3621944129142,4756858,"36,3",206,,206,206__,Zwolle - Wierden,0.49820369
6.46997307750202,52.3665304745124,4756859,"31,6",206,,206,206__,Zwolle - Wierden,5.71968661
6.20106337093394,52.4411073840211,4756860,"10,4",206,,206,206__,Zwolle - Wierden,45.60474995
6.14874285421632,52.4739765510246,4756861,"5,3",206,,206,206__,Zwolle - Wierden,45.24782901
6.12420564157832,52.489526030635,4756862,"2,9",206,,206,206__,Zwolle - Wierden,45.25425408
6.56349684028176,52.3618422652394,4756863,38,206,,206,206__,Zwolle - Wierden,0.49962077
6.11805082311218,52.493367635938,4756864,"2,3",206,,206,206__,Zwolle - Wierden,45.41978077
6.30727017078659,52.3811888003828,4756865,"20,4",206,,206,206__,Zwolle - Wierden,9.36173719
6.58104132668081,52.3616625613622,4756866,"39,2",206,,206,206__,Zwolle - Wierden,-3.22691948
6.14155983676629,52.4784834693761,4756867,"4,6",206,,206,206__,Zwolle - Wierden,45.38611179
6.44948138402697,52.3676987503593,4756868,"30,2",206,,206,206__,Zwolle - Wierden,5.72540373
6.37673653429015,52.3735625463449,4756869,"25,2",206,,206,206__,Zwolle - Wierden,9.36590137
6.14566152484084,52.475906269336,4756870,5,206,,206,206__,Zwolle - Wierden,45.06240416
6.34781808656576,52.3767467068439,4756871,"23,2",206,,206,206__,Zwolle - Wierden,9.596231
6.17132914375169,52.4598163969825,4756872,"7,5",206,,206,206__,Zwolle - Wierden,45.08503374
6.35360123205256,52.376110768256,4756873,"23,6",206,,206,206__,Zwolle - Wierden,9.59534443
6.42615965947653,52.3694363727987,4756874,"28,6",206,,206,206__,Zwolle - Wierden,5.82416324
6.18260858026511,52.4527206325174,4756875,"8,6",206,,206,206__,Zwolle - Wierden,45.02912521
6.37384301393595,52.373880509916,4756876,25,206,,206,206__,Zwolle - Wierden,9.63195173
6.49044555465727,52.3652758244498,4756877,33,206,,206,206__,Zwolle - Wierden,5.57373593
6.49773058782496,52.3646449452309,4756878,"33,5",206,,206,206__,Zwolle - Wierden,5.79303305
6.38107579986826,52.3730879211645,4756879,"25,5",206,,206,206__,Zwolle - Wierden,9.33269677
6.45680893883236,52.3673332901321,4756880,"30,7",206,,206,206__,Zwolle - Wierden,5.58726415
6.30293580361298,52.3816602049479,4756881,"20,1",206,,206,206__,Zwolle - Wierden,9.55690897
6.17851693557112,52.4552951488914,4756882,"8,2",206,,206,206__,Zwolle - Wierden,45.28982983
6.19391295960304,52.4456283964196,4756883,"9,7",206,,206,206__,Zwolle - Wierden,45.48907337
6.45536293275279,52.3674991073339,4756884,"30,6",206,,206,206__,Zwolle - Wierden,5.73222546
6.3752911544866,52.3737163572961,4756885,"25,1",206,,206,206__,Zwolle - Wierden,9.49066505
6.47438419390219,52.366380658983,4756886,"31,9",206,,206,206__,Zwolle - Wierden,5.73504116
6.14053870945134,52.4791288989975,4756887,"4,5",206,,206,206__,Zwolle - Wierden,45.08063476
6.37962612461694,52.3732459828356,4756888,"25,4",206,,206,206__,Zwolle - Wierden,9.29598591
6.4802125497483,52.3659322718837,4756889,"32,3",206,,206,206__,Zwolle - Wierden,5.4276901
6.54147612333963,52.3621524189767,4756890,"36,5",206,,206,206__,Zwolle - Wierden,0.56049118
6.51374295433901,52.3633925621726,4756891,"34,6",206,,206,206__,Zwolle - Wierden,5.41178961
6.58245866677271,52.3617035308706,4756892,"39,3",206,,206,206__,Zwolle - Wierden,-5.78977695
6.54734774923482,52.3620717398426,4756893,"36,9",206,,206,206__,Zwolle - Wierden,0.4916265
6.11001062899803,52.4986541478394,4756894,"1,5",603,e,603,603_e,Zwolle,43.87856242
6.29610283450214,52.3828027193114,4756895,"19,6",206,,206,206__,Zwolle - Wierden,23.1224864
6.3911913464681,52.3719696867163,4756896,"26,2",206,,206,206__,Zwolle - Wierden,9.39387618
6.57230236268148,52.3617171841118,4756897,"38,6",206,,206,206__,Zwolle - Wierden,0.49054697
6.47584264264766,52.3662725315284,4756898,32,206,,206,206__,Zwolle - Wierden,5.69010621
6.27471606600502,52.3945756078707,4756899,"17,6",206,,206,206__,Zwolle - Wierden,45.27738191
6.47729702824709,52.3661325959598,4756900,"32,1",206,,206,206__,Zwolle - Wierden,5.74605286
6.43635022043785,52.368618802674,4756901,"29,3",206,,206,206__,Zwolle - Wierden,5.65917778
6.29233687394286,52.3840219180592,4756902,"19,3",206,,206,206__,Zwolle - Wierden,31.74626767
6.52686656825129,52.362485294165,4756903,"35,5",206,,206,206__,Zwolle - Wierden,4.76607974
6.41883532216101,52.3699399307274,4756904,"28,1",206,,206,206__,Zwolle - Wierden,5.47333899
6.53413069818165,52.3622535105901,4756905,36,206,,206,206__,Zwolle - Wierden,0.41280415
6.22377798855929,52.4269999261831,4756906,"12,6",206,,206,206__,Zwolle - Wierden,45.03489721
6.2143954604492,52.4327219431919,4756907,"11,7",206,,206,206__,Zwolle - Wierden,45.39524393
6.23589070140643,52.4191499408871,4756908,"13,8",206,,206,206__,Zwolle - Wierden,45.07375455
6.53706582034389,52.3622152256326,4756909,"36,2",206,,206,206__,Zwolle - Wierden,0.43853188
6.22464034315445,52.426264015989,4756910,"12,7",206,,206,206__,Zwolle - Wierden,45
6.17646460082318,52.4565889482056,4756911,8,206,,206,206__,Zwolle - Wierden,45.17722686
6.5664320682771,52.3617978394509,4756912,"38,2",206,,206,206__,Zwolle - Wierden,0.49631944
6.33915415623165,52.3777779994518,4756913,"22,6",206,,206,206__,Zwolle - Wierden,9.49281891
6.48606839674911,52.3655656475002,4756914,"32,7",206,,206,206__,Zwolle - Wierden,5.71759904
6.43345085318376,52.3689239170096,4756915,"29,1",206,,206,206__,Zwolle - Wierden,5.64387165
6.53119280776453,52.3623047196891,4756916,"35,8",206,,206,206__,Zwolle - Wierden,0.31327623
6.47143356449979,52.3664450512857,4756917,"31,7",206,,206,206__,Zwolle - Wierden,5.52278443
6.55468231293052,52.3619702581441,4756918,"37,4",206,,206,206__,Zwolle - Wierden,0.18694044
6.51082662745691,52.3635931469067,4756919,"34,4",206,,206,206__,Zwolle - Wierden,5.59740769
6.26655296060387,52.3997465256529,4756920,"16,8",206,,206,206__,Zwolle - Wierden,45.25039915
6.20312654844564,52.4398147266854,4756921,"10,6",206,,206,206__,Zwolle - Wierden,45.23111045
6.22566338701983,52.4256106749927,4756922,"12,8",206,,206,206__,Zwolle - Wierden,44.99935874
6.33188350424181,52.3784949406401,4756923,"22,1",206,,206,206__,Zwolle - Wierden,9.40756897
6.48313809962089,52.3657359265257,4756924,"32,5",206,,206,206__,Zwolle - Wierden,5.60450227
6.21336948267294,52.4333664955069,4756925,"11,6",206,,206,206__,Zwolle - Wierden,45.49270797
6.24715601954984,52.4120413918422,4756926,"14,9",206,,206,206__,Zwolle - Wierden,45.35825088
6.36517023302066,52.3748379100661,4756927,"24,4",206,,206,206__,Zwolle - Wierden,9.42995718
6.30871408738923,52.3810304594965,4756928,"20,5",206,,206,206__,Zwolle - Wierden,9.37208468
6.26044346171791,52.4036246556364,4756929,"16,2",206,,206,206__,Zwolle - Wierden,45.29216532
6.54587925245676,52.3620946864389,4756930,"36,8",206,,206,206__,Zwolle - Wierden,0.19450928
6.41737455871624,52.370041262133,4756931,28,206,,206,206__,Zwolle - Wierden,5.51102312
6.40277092240971,52.371039301658,4756932,27,206,,206,206__,Zwolle - Wierden,5.70282234
6.19902888439954,52.4424031333935,4756933,"10,2",206,,206,206__,Zwolle - Wierden,45.03682286
6.51813451496461,52.3630898722767,4756934,"34,9",206,,206,206__,Zwolle - Wierden,5.67558015
6.29353270404843,52.3835710143622,4756935,"19,4",206,,206,206__,Zwolle - Wierden,28.24212893
6.45389831626944,52.3675894204251,4756936,"30,5",206,,206,206__,Zwolle - Wierden,5.63395978
6.43053485072713,52.3691327889385,4756937,"28,9",206,,206,206__,Zwolle - Wierden,5.85750379
6.57377225899007,52.3616907764092,4756938,"38,7",206,,206,206__,Zwolle - Wierden,0.62728752
6.20721659525336,52.4372314402162,4756939,11,206,,206,206__,Zwolle - Wierden,45.36636679
6.55615346561947,52.36194360761,4756940,"37,5",206,,206,206__,Zwolle - Wierden,0.42262149
6.13231703744126,52.4842809818595,4756941,"3,7",206,,206,206__,Zwolle - Wierden,45.19671489
6.57961123906339,52.3616246246057,4756942,"39,1",206,,206,206__,Zwolle - Wierden,-1.20754433
6.21643927963311,52.4314294887288,4756943,"11,9",206,,206,206__,Zwolle - Wierden,45.55021345
6.24203039696342,52.4152749162095,4756944,"14,4",206,,206,206__,Zwolle - Wierden,45.16492419
6.18877571195431,52.4488584394692,4756945,"9,2",206,,206,206__,Zwolle - Wierden,45.38055587
6.54294235769598,52.3621360567384,4756946,"36,6",206,,206,206__,Zwolle - Wierden,0.53319616
6.46266021064036,52.366903700661,4756947,"31,1",206,,206,206__,Zwolle - Wierden,6.48711769
6.20823932263748,52.4365867763639,4756948,"11,1",206,,206,206__,Zwolle - Wierden,45.45536163
6.25531897619905,52.4068610901896,4756949,"15,7",206,,206,206__,Zwolle - Wierden,45.42868617
6.35070621457644,52.3764294616683,4756950,"23,4",206,,206,206__,Zwolle - Wierden,9.59736049
6.27166836685043,52.3965095336871,4756951,"17,3",206,,206,206__,Zwolle - Wierden,45.56613829
6.47876794136294,52.3660673444619,4756952,"32,2",206,,206,206__,Zwolle - Wierden,5.92626769
6.3000926566293,52.381998628356,4756953,"19,9",206,,206,206__,Zwolle - Wierden,12.59447196
